monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,470 sq.ft.,Fully Furnished,"Security, Swimming Pool, Barbeque area, Gymnasium, Jogging Track, Playground, Parking, Multipurpose hall, Lift, Minimart","Air-Cond, Cooking Allowed","Off Persiaran Ceria, Cyberjaya, Selangor","FULLY FURNISHED STUDIO DOMAIN 5 @ NEOCYBER FOR RENT !!!<br><br>ASKING RENTAL PRICE : RM1100<br><br>DEPOSIT : 2+1+1+TA (RM4,100)<br><br>DETAILS:<br>- Build up : 470 sqft<br>- No of Bedroom : 1<br>- No of Bathroom : 1<br>- No of parking : 1<br><br>FEATURES :<br>- Fully furnished<br><br>AMMENITIES :<br>- Cyberjaya University<br>- Tamarind Square<br>- Hospital Cyberjaya<br>- Multimedia University<br>- D’pulze Shopping Mall<br><br>Hazwan Hamdan<br>REN 46336<br>Great Casa Realty Sdn Bhd<br>https://0193372090.wasap.my/",Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109218170,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,847 sq.ft.,Fully Furnished,"Security, Barbeque area, Swimming Pool, Playground, Gymnasium, Parking, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Sepang, Taman Sains Selangor 2, Cyberjaya, Selangor",VEGA RESIDENCE CONDO CYBERJAYA FOR RENT !!!<br><br>DETAILS :-<br>- Buildup : 847 sqft<br>- Bedroom : 3<br>- Bathroom : 2<br>- Parking : 2<br>- Fully furnished<br>- Move in Feb 2025<br><br>ASKING RENTAL : RM1600<br><br>Deposit : 2+1+0.5+agreement (RM5900)<br><br>Facilities :-<br>- 24 hours security<br>- Gym<br>- Swimming pool<br>- Playground<br><br>Whatsapp Hazwan (REN46336) : https://wa.link/z8sw76,Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109948736,,
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,990 sq.ft.,Fully Furnished,"Multipurpose hall, Playground, Parking, Swimming Pool, Barbeque area, Squash Court, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Multimedia, Cyber 11, Cyberjaya, Selangor",ECLIPSE RESIDENCE DUPLEX CYBERJAYA FOR RENT !!!<br><br>Details :-<br>- Size : 990 sqft<br>- Bedroom : 3<br>- Bathroom : 2<br>- Parking : 2<br><br>Mid January Move In<br><br>Asking Rental : RM2200<br><br>Deposit : 2+1+0.5+agreement (RM8100)<br><br>Facilities :-<br>- Swimming pool<br>- Gym<br>- 24 hours Security<br>- Restaurant<br>- Grocery<br><br>Whatsapp Hazwan (REN46336) : https://wa.link/pj84ap,Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109359633,,
"RM 1,650 per month","Apartment / Condominium, For rent",Service Residence,1,1,520 sq.ft.,Fully Furnished,"Swimming Pool, Squash Court, Lift, Security, Playground, Multipurpose hall, Gymnasium, Parking, Minimart, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Off Jalan Kemajuan Subang, SS16, Subang Jaya, Selangor","Casa Tiara @ Subang Jaya<br>Limited Studio with Balcony<br>Corner Lot with Larger Space and Windows<br>1 Carpark Included<br><br>=== Fully Furnished ===<br>✅ Kitchen Table Top<br>✅ Microwave<br>✅ Refrigerator<br>✅ Washing Machine<br>✅ Water Heater<br>✅ Bed + Mattress<br>✅ Wardrobe<br>✅ Air-Cond<br>✅ TV + Sofa<br>✅ Table + Chairs<br><br>=== Accessibility ===<br>🚗 Walking Distance to LRT & KTM Subang Jaya, Aeon Big<br>🚗 5 mins to Subang Parade, Empire Shopping Gallery<br>🚗 10 mins to UCSI International School, Taylor's University, Sunway Pyramid<br>🚗 Easy Access to Federal Highway<br><br>Rental RM 1,650 ONLY!<br><br>**Contact YS @014-6428368 for more details and viewing** 😃<br>www.wasap.my/+60146428368/CT1650",Selangor,Subang Jaya,2025-02-24 11:55,2025-02-24,110150139,,
"RM 2,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1021 sq.ft.,Fully Furnished,"Parking, Security, Playground, Multipurpose hall, Squash Court, Barbeque area, Sauna, Minimart, Swimming Pool, Gymnasium, Lift, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Kemajuan SS16, SS16, Subang Jaya, Selangor","Subang Avenue @ Subang Jaya<br>Walking Distance to LRT, KTM and Shopping Mall<br>Included Cleaning Service<br>3 Bedrooms 2 Bathrooms 1 Carpark<br><br>Rent now at RM 2,700 ONLY!!<br>Grab it now!!<br><br>=== Fully Furnished ===<br>✅ Built-In Kitchen Cabinet with Hood and Hob<br>✅ Fridge<br>✅ Washing Machine<br>✅ Water Heater<br>✅ TV + Sofa<br>✅ Table + Chairs<br>✅ Bed + Mattress<br>✅ Wardrobe<br>✅ Air-Cond<br><br>=== Facilities ===<br>✅ Car Park<br>✅ Swimming pool<br>✅ Gymnasium<br>✅ Landscaped Garden<br>✅ Sauna<br>✅ BBQ Area<br>✅ Playground<br>✅ Multipurpose Hall<br>✅ 24 hours Security<br><br>=== Accessibility ===<br>🚗 Walking Distance to LRT & KTM Subang Jaya, Aeon Big<br>🚗 5 mins to Subang Parade, Empire Shopping Gallery<br>🚗 10 mins to UCSI International School, Taylor's University, Sunway Pyramid<br>🚗 Easy Access to Federal Highway<br><br>**Contact YS @014-6428368 for more details and viewing** 😃<br>www.wasap.my/+60146428368/SA2700",Selangor,Subang Jaya,2025-02-24 11:55,2025-02-24,109958635,,
"RM 1,600 per month","House, For rent",2-storey Terraced House,3,2,1302 sq.ft.,Partially Furnished,Parking,Air-Cond,,For Rent <br><br>Taman Sungai Kapar Indah <br>Double Storey House <br>Land Size: 20x65 <br>3 bedrooms <br>2 baths <br>Partial furnished with one aircon and one water heater <br><br>2 months security deposit for local Malaysian (3 months security deposit for foreigners) <br>1 month utilities deposit <br>1 month Advance rental <br>Stamping and disbursement fee <br><br>Contact 0197578686 Ray Goh,Selangor,Kapar,2025-02-24 11:54,2025-02-24,109715024,,
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1048 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Squash Court, Parking, Security, Jogging Track, Sauna, Club house, Playground, Lift, Barbeque area, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Saujana Putra, Bandar Saujana Putra, Selangor","Nice Renovated Fully Furnished BSP21 Residence @ Bdr Saujana Putra for Rent<br><br>— Rental: rm2,200<br>— Built-up size: 1048sqft<br>— Layout: 3 Bedrooms 2 Bathrooms<br>— Come with 2 Car Park<br>— Fully Furnished (Airconds, Fans, Fridge, Washer, TV, Sofa, 2 Queen Size Beds, Water Heater, Dining Table Set)<br><br>FACILITIES:<br>— Up to a total of 70 kinds Facilities Available <br>— 24hrs Security System<br>— Swimming Pool<br>— Gym<br>— BBQ<br>— Jogging Track<br>— Playground<br>— Sauna<br>— Tennis Court<br>— Sky Garden<br><br>[AMENITIES:]<br>— Nearby to MAHSA International School, MAHSA University College and MAHSA Hospital<br>— Nearby Mall like Quayside Mall, Eco Sanctuary Mall <br>— 10mins Driving Distance to Kota Kemuning<br>— 15mins Driving Distance to USJ or Cyberjaya via ELITE Highway <br>— 10-15mins to Puchong via Jalan Kebun to Taman Mas Puchong area<br>— 20-25mins to KLIA<br>— 30-40mins to Banting & Klang<br>— Nearby Kindergarten, International Schools & University like R.E.A.L Kids, Eduwis, Oasis International School, Tenby International School, SJK(C) Bukit Fraser, MAHSA University <br>— Neighborhood Hospital as Columbia Hospital, New MAHSA Specialize Hospital<br><br>[ACCESSIBILITY:]<br>— Connected by highway Lebuhraya Shah Alam (KESAS), Lebuhraya Kemuning Shah Alam (LKSA), South Klang Valley Expressway (SKVE), Expressway Lingkaran Tengah (Elite) and proposed West Coast Expressway (WCE).<br>— Easy Access to KESAS highway via Kota Kemuning exit<br>— Easy Accessible to SKVE, ELITE Highway via Bdr Saujana Putra exit<br><br>For More Info or Viewing Arrangement, Pls do not hesitate to Contact/WhatsApp:<br>William Pua<br>+6016-290 9886<br><br>~Owner are Welcome to List your Property~",Selangor,Bandar Saujana Putra,2025-02-24 11:53,2025-02-24,109876523,2.9447116631418795,101.58690436207732
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,2800 sq.ft.,Partially Furnished,"Parking, Security",,,"Rumah Teres Lot Tapi Untuk Sewa <br><br>[ Extra Land 20feet ] Corner Lot DCendana Bandat Tasik Kesuma Beranang, Eco Forest <br><br>📍built up 22*70ft (extra land 20ft)<br>📍New house just got key 2023<br>📍basic unit<br>📍4 rooms 3 baths<br>📍Facing：East, Sun rise<br>📍Gated and guarded <br><br>RM1800 sewa bulan pertama<br>RM3600 2 bulan deposit <br>RM90 0.5 bulan utility deposit <br>RM360 tenancy agreement <br><br><br>#cornerlotforsales<br>#dcenana<br>#guarded&gated<br>#Thambi",Selangor,Semenyih,2025-02-24 11:53,2025-02-24,109512309,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,549 sq.ft.,Partially Furnished,"Gymnasium, Parking, Security, Playground, Multipurpose hall, Jogging Track, Swimming Pool, Lift","Air-Cond, Cooking Allowed","Jalan Welfare, Kampung Baru Sungai Buloh, Sungai Buloh, Selangor","Whatsapp Me Now For More Details And Information!<br><br>-549 sq ft <br>-1 room , 1 bathroom <br>-1 car parking <br>-Built in kitchen cabinet , eletrolux cooker <br>-Refrigerator <br>-Washing machine <br>-Mattress <br>-Aircond x2<br>-Facing Sierramas<br><br>Brian Tan<br>016-36O1113<br>016-36O1113<br>016-36O1113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.<br><br>87216",Selangor,Sungai Buloh,2025-02-24 11:52,2025-02-24,110078351,3.198233586627722,101.56606163849025
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,1,1,450 sq.ft.,Partially Furnished,"Playground, Lift, Gymnasium, Security, Swimming Pool, Squash Court, Sauna, Parking","Cooking Allowed, Air-Cond","Jalan Ukay, Persiaran Ampang Ukay, Ampang, Selangor","Whatsapp Me Now For More Details And Information!<br><br>- 450sqft<br>- 1rooms 1 baths, 1 car park<br>- Built in kitchen cabinet<br>- Water Heater<br>- Air Cond<br>- High floor<br><br>Brian Tan<br>016-360 1113<br>016-360 1113<br>016-360 1113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.",Selangor,Ampang,2025-02-24 11:52,2025-02-24,110074541,,
